 kgrid  ValNew  Policy 
    0.85   -61.09     0.85
 0.85015   -61.07     0.85
  0.8503 -61.0501     0.85
 0.85045 -61.0302     0.85
  0.8506 -61.0104     0.85
 0.85075 -60.9906     0.85
  0.8509 -60.9709     0.85
0.851051 -60.9512     0.85
0.851201 -60.9315     0.85
0.851351 -60.9119     0.85
0.851501 -60.8923     0.85
0.851651 -60.8728     0.85
0.851801 -60.8533     0.85
0.851951 -60.8338     0.85
0.852101 -60.8144     0.85
0.852251 -60.7951     0.85
0.852401 -60.7757     0.85
0.852551 -60.7565     0.85
0.852701 -60.7372     0.85
0.852851  -60.718     0.85
0.853002 -60.6989     0.85
0.853152 -60.6798     0.85
0.853302 -60.6607     0.85
0.853452 -60.6417     0.85
0.853602 -60.6227     0.85
0.853752 -60.6037     0.85
0.853902 -60.5848     0.85
0.854052 -60.5659     0.85
0.854202 -60.5471     0.85
0.854352 -60.5283     0.85
0.854502 -60.5096     0.85
0.854652 -60.4909     0.85
0.854802 -60.4722     0.85
0.854952 -60.4536     0.85
0.855103  -60.435     0.85
0.855253 -60.4165     0.85
0.855403  -60.398     0.85
0.855553 -60.3795     0.85
0.855703 -60.3611     0.85
0.855853 -60.3427     0.85
0.856003 -60.3244     0.85
0.856153  -60.306     0.85
0.856303 -60.2878     0.85
0.856453 -60.2696     0.85
0.856603 -60.2514     0.85
0.856753 -60.2332     0.85
0.856903 -60.2151     0.85
0.857054  -60.197     0.85
0.857204  -60.179     0.85
0.857354  -60.161     0.85
0.857504 -60.1431     0.85
0.857654 -60.1251     0.85
0.857804 -60.1073     0.85
0.857954 -60.0894     0.85
0.858104 -60.0716     0.85
0.858254 -60.0539     0.85
0.858404 -60.0361     0.85
0.858554 -60.0184     0.85
0.858704 -60.0008     0.85
0.858854 -59.9832     0.85
0.859005 -59.9656     0.85
0.859155 -59.9481     0.85
0.859305 -59.9306     0.85
0.859455 -59.9131     0.85
0.859605 -59.8957     0.85
0.859755 -59.8783     0.85
0.859905 -59.8609     0.85
0.860055 -59.8436     0.85
0.860205 -59.8263     0.85
0.860355 -59.8091     0.85
0.860505 -59.7919     0.85
0.860655 -59.7747     0.85
0.860805 -59.7576     0.85
0.860955 -59.7405     0.85
0.861106 -59.7234     0.85
0.861256 -59.7064     0.85
0.861406 -59.6894     0.85
0.861556 -59.6725     0.85
0.861706 -59.6555     0.85
0.861856 -59.6387     0.85
0.862006 -59.6218     0.85
0.862156  -59.605     0.85
0.862306 -59.5882     0.85
0.862456 -59.5715     0.85
0.862606 -59.5548     0.85
0.862756 -59.5381     0.85
0.862906 -59.5215     0.85
0.863057 -59.5049     0.85
0.863207 -59.4883     0.85
0.863357 -59.4718     0.85
0.863507 -59.4553     0.85
0.863657 -59.4388     0.85
0.863807 -59.4224     0.85
0.863957  -59.406     0.85
0.864107 -59.3897     0.85
0.864257 -59.3733     0.85
0.864407  -59.357     0.85
0.864557 -59.3408     0.85
0.864707 -59.3246     0.85
0.864857 -59.3084     0.85
0.865008 -59.2922     0.85
0.865158 -59.2761     0.85
0.865308   -59.26     0.85
0.865458  -59.244     0.85
0.865608  -59.228     0.85
0.865758  -59.212     0.85
0.865908  -59.196     0.85
0.866058 -59.1801     0.85
0.866208 -59.1642     0.85
0.866358 -59.1484     0.85
0.866508 -59.1326     0.85
0.866658 -59.1168     0.85
0.866808  -59.101     0.85
0.866958 -59.0853     0.85
0.867109 -59.0696     0.85
0.867259  -59.054     0.85
0.867409 -59.0383     0.85
0.867559 -59.0228     0.85
0.867709 -59.0072     0.85
0.867859 -58.9917     0.85
0.868009 -58.9762     0.85
0.868159 -58.9607     0.85
0.868309 -58.9453     0.85
0.868459 -58.9299     0.85
0.868609 -58.9145     0.85
0.868759 -58.8992     0.85
0.868909 -58.8839     0.85
 0.86906 -58.8686     0.85
 0.86921 -58.8534     0.85
 0.86936 -58.8382     0.85
 0.86951  -58.823     0.85
 0.86966 -58.8079     0.85
 0.86981 -58.7928     0.85
 0.86996 -58.7777     0.85
 0.87011 -58.7626     0.85
 0.87026 -58.7476     0.85
 0.87041 -58.7326     0.85
 0.87056 -58.7177     0.85
 0.87071 -58.7028     0.85
 0.87086 -58.6879     0.85
0.871011  -58.673     0.85
0.871161 -58.6582     0.85
0.871311 -58.6434     0.85
0.871461 -58.6286  0.85015
0.871611 -58.6138  0.85015
0.871761  -58.599   0.8503
0.871911 -58.5843  0.85045
0.872061 -58.5696  0.85045
0.872211 -58.5548   0.8506
0.872361 -58.5401  0.85075
0.872511 -58.5254  0.85075
0.872661 -58.5107   0.8509
0.872811 -58.4961 0.851051
0.872961 -58.4814 0.851051
0.873112 -58.4668 0.851201
0.873262 -58.4521 0.851351
0.873412 -58.4375 0.851351
0.873562 -58.4229 0.851501
0.873712 -58.4083 0.851651
0.873862 -58.3937 0.851651
0.874012 -58.3791 0.851801
0.874162 -58.3646 0.851951
0.874312   -58.35 0.851951
0.874462 -58.3355 0.852101
0.874612  -58.321 0.852101
0.874762 -58.3065 0.852251
0.874912  -58.292 0.852401
0.875063 -58.2775 0.852551
0.875213  -58.263 0.852551
0.875363 -58.2485 0.852701
0.875513 -58.2341 0.852851
0.875663 -58.2196 0.852851
0.875813 -58.2052 0.853002
0.875963 -58.1908 0.853152
0.876113 -58.1764 0.853302
0.876263  -58.162 0.853302
0.876413 -58.1476 0.853452
0.876563 -58.1332 0.853602
0.876713 -58.1188 0.853602
0.876863 -58.1045 0.853752
0.877014 -58.0901 0.853902
0.877164 -58.0758 0.854052
0.877314 -58.0615 0.854052
0.877464 -58.0471 0.854202
0.877614 -58.0328 0.854352
0.877764 -58.0185 0.854352
0.877914 -58.0043 0.854502
0.878064   -57.99 0.854652
0.878214 -57.9757 0.854652
0.878364 -57.9615 0.854802
0.878514 -57.9472 0.854952
0.878664  -57.933 0.855103
0.878814 -57.9188 0.855103
0.878964 -57.9046 0.855253
0.879115 -57.8904 0.855403
0.879265 -57.8762 0.855403
0.879415  -57.862 0.855553
0.879565 -57.8478 0.855703
0.879715 -57.8337 0.855853
0.879865 -57.8195 0.855853
0.880015 -57.8054 0.856003
0.880165 -57.7913 0.856153
0.880315 -57.7772 0.856153
0.880465 -57.7631 0.856303
0.880615  -57.749 0.856453
0.880765 -57.7349 0.856603
0.880915 -57.7208 0.856603
0.881066 -57.7067 0.856753
0.881216 -57.6927 0.856903
0.881366 -57.6787 0.856903
0.881516 -57.6646 0.857054
0.881666 -57.6506 0.857204
0.881816 -57.6366 0.857354
0.881966 -57.6226 0.857354
0.882116 -57.6086 0.857504
0.882266 -57.5946 0.857654
0.882416 -57.5806 0.857654
0.882566 -57.5667 0.857804
0.882716 -57.5527 0.857954
0.882866 -57.5388 0.858104
0.883017 -57.5249 0.858104
0.883167 -57.5109 0.858254
